year,the United States,United Kingdom,India,China,Australia,Germany,France,Japan,Italy,Russia,Canada,Others
09/2020,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
10/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/2020,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0
12/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/2021,-46.0,-49.0,17.0,10.0,4.0,12.0,-8.0,-3.0,11.0,9.0,-4.0,47.0
02/2021,-3.0,0.0,-1.0,0.0,2.0,0.0,0.0,1.0,-1.0,0.0,-1.0,3.0
03/2021,-15.0,-8.0,7.0,1.0,-1.0,1.0,4.0,1.0,0.0,-1.0,-4.0,15.0
04/2021,1.0,-4.0,-1.0,0.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,5.0
05/2021,-3.0,-2.0,1.0,2.0,1.0,-1.0,2.0,2.0,-1.0,0.0,0.0,-1.0
06/2021,-20.0,-4.0,3.0,3.0,-1.0,-1.0,2.0,2.0,-1.0,-2.0,2.0,17.0
07/2021,-4.0,-5.0,4.0,1.0,-1.0,-1.0,3.0,3.0,-1.0,2.0,0.0,-1.0
08/2021,-16.0,-7.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,1.0,2.0,9.0
09/2021,-18.0,-6.0,0.0,-2.0,2.0,3.0,2.0,0.0,3.0,-1.0,-1.0,18.0
10/2021,-2.0,-3.0,3.0,2.0,2.0,1.0,-3.0,0.0,0.0,4.0,5.0,-9.0
11/2021,-4.0,-4.0,1.0,2.0,0.0,2.0,1.0,3.0,0.0,1.0,1.0,-3.0
12/2021,-19.0,-5.0,0.0,2.0,1.0,1.0,5.0,2.0,2.0,1.0,0.0,10.0
01/2022,-68.0,-53.0,63.0,-5.0,9.0,11.0,-10.0,37.0,15.0,13.0,7.0,-19.0
02/2022,-2.0,0.0,2.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,-1.0
03/2022,-46.0,-13.0,6.0,5.0,2.0,8.0,2.0,5.0,4.0,2.0,-1.0,26.0
04/2022,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
05/2022,0.0,-2.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,2.0
06/2022,-4.0,0.0,-1.0,0.0,2.0,6.0,-1.0,1.0,10.0,-2.0,-2.0,-9.0
07/2022,-5.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-1.0,3.0,-1.0
08/2022,3.0,-2.0,0.0,2.0,0.0,0.0,-1.0,2.0,0.0,0.0,0.0,-4.0
09/2022,2.0,1.0,-1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,-2.0,-6.0
10/2022,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
11/2022,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
12/2022,2.0,-1.0,0.0,1.0,-1.0,3.0,0.0,1.0,0.0,-1.0,0.0,-4.0
01/2023,3.0,2.0,3.0,-1.0,1.0,0.0,-2.0,-1.0,-4.0,1.0,-1.0,-1.0
02/2023,0.0,-3.0,1.0,0.0,3.0,1.0,-1.0,-1.0,-2.0,0.0,1.0,1.0
03/2023,-11.0,-10.0,2.0,6.0,2.0,-1.0,-1.0,8.0,-2.0,2.0,6.0,-1.0
04/2023,1.0,-8.0,2.0,0.0,1.0,-1.0,-2.0,0.0,2.0,0.0,2.0,3.0
05/2023,-1.0,-2.0,-1.0,1.0,-1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
06/2023,-1.0,-1.0,-1.0,-2.0,0.0,0.0,-1.0,1.0,2.0,0.0,0.0,3.0
07/2023,-3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
08/2023,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0
09/2023,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
10/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
12/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
